          *date       Overpass      wb_1st_00      wb_1st_01      wb_1st_05      wb_2nd_00      wb_2nd_01      wb_2nd_05     percent_cb           wwml          wwmax      max_wskew          wstar        wspd_cb   max_duration  mean_duration        num_cld     num_cld_30 min_ww_percent   LCL_mean_met      Hcb_vceil
       20130329           1700         0.7400         0.8330         1.3290         1.6130         1.6240         1.8970        45.0500         0.8920         0.8700         1.4027         1.4753         3.4160       643.0000       172.5217        23.0000        15.0000        93.4475         0.8000         0.5410
       20130404           1700         0.7820         0.9060         1.3360         1.4980         1.5100         1.6860        47.1190         0.6360         0.6720         0.9989         1.3906         4.2690       650.0000       269.2000        15.0000        12.0000        93.6271         0.7630         0.6880
       20130407           1800         0.3560         0.4440         0.8700         0.6990         0.7170         1.0380        91.6530         0.2670         0.2740         1.2194         1.0013         8.6730       650.0000       565.0000         9.0000         9.0000        93.4172         0.5810         0.5290
       20130408           2000         0.5910         0.6650         0.9860         0.9590         0.9670         1.1330        50.0910         0.6850         0.7950         0.8475         1.4657        11.8860       556.0000       113.8000        25.0000        18.0000        90.8022         1.1080         1.0740
       20130408           1700         0.4330         0.5100         0.8590         0.7440         0.7560         0.9860        60.6820         0.2870         0.3030         0.4123         1.1540        11.5570       650.0000       403.4167        12.0000         9.0000        93.4404         0.5390         0.5340
       20130414           1730         0.8350         0.9060         1.1720         1.2980         1.3030         1.4140        63.3890         0.8180         0.9230         0.4930         1.4119        11.9870       649.0000       243.6667        18.0000        11.0000        93.5568         1.2580         1.1790
       20130421           2200         0.7540         0.8190         1.1040         1.1810         1.1870         1.3150        12.7370         1.1590         1.4720         0.9878         1.6235         9.4980       209.0000        67.0000        13.0000         6.0000        93.5288         2.1130         2.0020
       20130422           2030         0.7170         0.8040         1.2240         1.3920         1.4010         1.6150        49.6740         0.9040         1.0190         0.8950         1.6634        15.5170       565.0000       128.4348        23.0000        16.0000        91.0744         1.4600         1.3680
       20130501           1600         0.5530         0.6220         0.9230         0.8720         0.8800         1.0440        27.6480         0.4050         0.4150         0.5308         1.0991         8.4540       289.0000        60.4194        31.0000        16.0000        93.4542         0.7580         0.5780
       20130506           1930         0.6330         0.7240         1.1800         1.3760         1.3880         1.6590        80.2010         1.1320         1.3400         1.0411         1.7688         2.7620       640.0000       384.5833        12.0000         9.0000        93.4419         1.2720         1.0890
